full_text,cleansing,Tokenization and Case Folding,Filtering / Stopword removal,stemming_data
@xxGypsophila_L Bakalan jadi topik panas selama setahun🤣,xxGypsophilaL Bakalan jadi topik panas selama setahun🤣,"['xxgypsophilal', 'bakalan', 'jadi', 'topik', 'panas', 'selama', 'setahun🤣']","['xxgypsophilal', 'topik', 'panas', 'setahun🤣']",xxgypsophilal topik panas tahun
Panci Kaca Borosilicate Aesthetic Serbaguna Transparan Masak Soup Tebal Tahan Panas Kado Hadiah 1700ml Dapatkan di Shopee sekarang! https://t.co/72mkozMXEr  #shoppingqueen #ShopeeID #shopeeaffiliate #panci #shopping https://t.co/Od0ceGrGtA,Panci Kaca Borosilicate Aesthetic Serbaguna Transparan Masak Soup Tebal Tahan Panas Kado Hadiah ml Dapatkan di Shopee sekarang httpstcomkozMXEr  shoppingqueen ShopeeID shopeeaffiliate panci shopping httpstcoOdceGrGtA,"['panci', 'kaca', 'borosilicate', 'aesthetic', 'serbaguna', 'transparan', 'masak', 'soup', 'tebal', 'tahan', 'panas', 'kado', 'hadiah', 'ml', 'dapatkan', 'di', 'shopee', 'sekarang', 'httpstcomkozmxer', 'shoppingqueen', 'shopeeid', 'shopeeaffiliate', 'panci', 'shopping', 'httpstcoodcegrgta']","['panci', 'kaca', 'borosilicate', 'aesthetic', 'serbaguna', 'transparan', 'masak', 'soup', 'tebal', 'tahan', 'panas', 'kado', 'hadiah', 'ml', 'dapatkan', 'shopee', 'httpstcomkozmxer', 'shoppingqueen', 'shopeeid', 'shopeeaffiliate', 'panci', 'shopping', 'httpstcoodcegrgta']",panci kaca borosilicate aesthetic serbaguna transparan masak soup tebal tahan panas kado hadiah ml dapat shopee httpstcomkozmxer shoppingqueen shopeeid shopeeaffiliate panci shopping httpstcoodcegrgta
panas bgt kuping tiap pagi isinya orang ngegas orang marah marah doang,panas bgt kuping tiap pagi isinya orang ngegas orang marah marah doang,"['panas', 'bgt', 'kuping', 'tiap', 'pagi', 'isinya', 'orang', 'ngegas', 'orang', 'marah', 'marah', 'doang']","['panas', 'bgt', 'kuping', 'pagi', 'isinya', 'orang', 'ngegas', 'orang', 'marah', 'marah', 'doang']",panas bgt kuping pagi isi orang ngegas orang marah marah doang
"@everaithings @AnggaPutraF Tapi kalau model penutup yang datar kalau hujan angin tetep basah, kalau matahari sore juga tetep panas. Intinya semuanya ada kekurangan masing-masing sih",everaithings AnggaPutraF Tapi kalau model penutup yang datar kalau hujan angin tetep basah kalau matahari sore juga tetep panas Intinya semuanya ada kekurangan masingmasing sih,"['everaithings', 'anggaputraf', 'tapi', 'kalau', 'model', 'penutup', 'yang', 'datar', 'kalau', 'hujan', 'angin', 'tetep', 'basah', 'kalau', 'matahari', 'sore', 'juga', 'tetep', 'panas', 'intinya', 'semuanya', 'ada', 'kekurangan', 'masingmasing', 'sih']","['everaithings', 'anggaputraf', 'model', 'penutup', 'datar', 'hujan', 'angin', 'tetep', 'basah', 'matahari', 'sore', 'tetep', 'panas', 'intinya', 'kekurangan', 'masingmasing', 'sih']",everaithings anggaputraf model tutup datar hujan angin tetep basah matahari sore tetep panas inti kurang masingmasing sih
depok skrg ga panas wow (kena abis ujan) https://t.co/d7b88cnmCU,depok skrg ga panas wow kena abis ujan httpstcodbcnmCU,"['depok', 'skrg', 'ga', 'panas', 'wow', 'kena', 'abis', 'ujan', 'httpstcodbcnmcu']","['depok', 'skrg', 'ga', 'panas', 'wow', 'kena', 'abis', 'ujan', 'httpstcodbcnmcu']",depok skrg ga panas wow kena abis ujan httpstcodbcnmcu
@skincarehouse_ 🥺 betul la kan. panas smpai april ni,skincarehouse 🥺 betul la kan panas smpai april ni,"['skincarehouse', '🥺', 'betul', 'la', 'kan', 'panas', 'smpai', 'april', 'ni']","['skincarehouse', '🥺', 'la', 'panas', 'smpai', 'april', 'ni']",skincarehouse  la panas smpai april ni
"@FOODFESS2 Kurang tepung, pake api kecil setelah minyak sudah panas.",FOODFESS Kurang tepung pake api kecil setelah minyak sudah panas,"['foodfess', 'kurang', 'tepung', 'pake', 'api', 'kecil', 'setelah', 'minyak', 'sudah', 'panas']","['foodfess', 'tepung', 'pake', 'api', 'minyak', 'panas']",foodfess tepung pake api minyak panas
@StudiosTK_ Me puedo tomar unas cuantas cervezas de mantequilla con los panas?,StudiosTK Me puedo tomar unas cuantas cervezas de mantequilla con los panas,"['studiostk', 'me', 'puedo', 'tomar', 'unas', 'cuantas', 'cervezas', 'de', 'mantequilla', 'con', 'los', 'panas']","['studiostk', 'me', 'puedo', 'tomar', 'unas', 'cuantas', 'cervezas', 'de', 'mantequilla', 'con', 'los', 'panas']",studiostk me puedo tomar unas cuantas cervezas de mantequilla con los panas
YA LLEGAMOS PANAS Y NO ME HAN SUSPENDIDO DE INMEDIATO LETS FUCKING GOOOOOOOOOOOOOOOOOO https://t.co/bU53DUvCtW,YA LLEGAMOS PANAS Y NO ME HAN SUSPENDIDO DE INMEDIATO LETS FUCKING GOOOOOOOOOOOOOOOOOO httpstcobUDUvCtW,"['ya', 'llegamos', 'panas', 'y', 'no', 'me', 'han', 'suspendido', 'de', 'inmediato', 'lets', 'fucking', 'goooooooooooooooooo', 'httpstcobuduvctw']","['ya', 'llegamos', 'panas', 'y', 'no', 'me', 'han', 'suspendido', 'de', 'inmediato', 'lets', 'fucking', 'goooooooooooooooooo', 'httpstcobuduvctw']",ya llegamos panas y no me han suspendido de inmediato lets fucking goooooooooooooooooo httpstcobuduvctw
"@dalsoev @bulletofmine Saya haritu simptom dan bacaan tft saya tinggi. Simptom: moody, turun berat badan mendadak, xboleh control suhu panas/sejuk, shaking. G buat medical check up. Ingtkan diabetis ke apa. Rupanya thyroid. Terus refer hkl.",dalsoev bulletofmine Saya haritu simptom dan bacaan tft saya tinggi Simptom moody turun berat badan mendadak xboleh control suhu panassejuk shaking G buat medical check up Ingtkan diabetis ke apa Rupanya thyroid Terus refer hkl,"['dalsoev', 'bulletofmine', 'saya', 'haritu', 'simptom', 'dan', 'bacaan', 'tft', 'saya', 'tinggi', 'simptom', 'moody', 'turun', 'berat', 'badan', 'mendadak', 'xboleh', 'control', 'suhu', 'panassejuk', 'shaking', 'g', 'buat', 'medical', 'check', 'up', 'ingtkan', 'diabetis', 'ke', 'apa', 'rupanya', 'thyroid', 'terus', 'refer', 'hkl']","['dalsoev', 'bulletofmine', 'haritu', 'simptom', 'bacaan', 'tft', 'simptom', 'moody', 'turun', 'berat', 'badan', 'mendadak', 'xboleh', 'control', 'suhu', 'panassejuk', 'shaking', 'g', 'medical', 'check', 'up', 'ingtkan', 'diabetis', 'thyroid', 'refer', 'hkl']",dalsoev bulletofmine haritu simptom baca tft simptom moody turun berat badan dadak xboleh control suhu panassejuk shaking g medical check up ingtkan abet thyroid refer hkl
